gene1	gene2	protein1	protein2	identity	Ka	Ks	Ka_Ks	selection
LOC110890906	LOC110890906	XP_035835917.1	XP_035835922.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835917.1	XP_035835921.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835917.1	XP_035835920.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835917.1	XP_035835918.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835918.1	XP_035835925.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835918.1	XP_035835924.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835918.1	XP_035835923.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835918.1	XP_035835922.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835918.1	XP_035835921.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835918.1	XP_035835920.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835920.1	XP_035835925.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835920.1	XP_035835924.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835920.1	XP_035835923.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835920.1	XP_035835922.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835920.1	XP_035835921.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835921.1	XP_035835925.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835921.1	XP_035835924.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835921.1	XP_035835923.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835921.1	XP_035835922.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835922.1	XP_035835925.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835922.1	XP_035835924.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835922.1	XP_035835923.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835923.1	XP_035835925.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835923.1	XP_035835924.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835924.1	XP_035835925.1	100.0				neutral/NA
LOC110892775	LOC110868884	XP_035837035.1	XP_021973843.1	81.818	1.0881	2.1152	0.5144	purifying
LOC110892775	LOC110868358	XP_035837035.1	XP_021973181.1	76.761	1.999	1.8376	1.0878	positive
LOC110892775	LOC110868323	XP_035837035.1	XP_021973148.1	78.136	2.1142	1.6044	1.3177	positive
LOC110892775	LOC110868318	XP_035837035.1	XP_021973145.1	78.136	2.1142	1.6044	1.3177	positive
LOC110892775	LOC110904457	XP_035837035.1	XP_022005993.1	76.761	1.9237	2.4869	0.7735	purifying
LOC110892775	LOC110868335	XP_035837035.1	XP_021973155.1	76.761	1.9772	1.7826	1.1092	positive
LOC110892775	LOC110904450	XP_035837035.1	XP_022005989.1	76.056	1.8891	1.9855	0.9515	purifying
LOC110892775	LOC110868317	XP_035837035.1	XP_021973144.1	76.761	2.1007	1.3105	1.603	positive
LOC110892775	LOC110868334	XP_035837035.1	XP_021973154.1	76.408	2.0816	1.4962	1.3913	positive
LOC110892775	LOC110904451	XP_035837035.1	XP_022005990.1	76.408	2.0188	1.9042	1.0602	positive
LOC110892775	LOC110904303	XP_035837035.1	XP_022005838.1	76.678	1.2188	3.6752	0.3316	purifying
LOC110892775	LOC110866810	XP_035837035.1	XP_021971649.1	77.061	2.8961	2.1399	1.3534	positive
LOC110892775	LOC110890906	XP_035837035.1	XP_035835925.1	74.394	2.8182	3.4019	0.8284	purifying
LOC110892775	LOC110890906	XP_035837035.1	XP_035835924.1	74.394	2.8182	3.4019	0.8284	purifying
LOC110892775	LOC110890906	XP_035837035.1	XP_035835923.1	74.394	2.8182	3.4019	0.8284	purifying
LOC110892775	LOC110890906	XP_035837035.1	XP_035835922.1	74.394	2.8182	3.4019	0.8284	purifying
LOC110892775	LOC110890906	XP_035837035.1	XP_035835921.1	74.394	2.8182	3.4019	0.8284	purifying
LOC110892775	LOC110890906	XP_035837035.1	XP_035835920.1	74.394	2.8182	3.4019	0.8284	purifying
